Text,Actual,Predicted,Probability,Error_Type
"Subject: road - show . com q 4 i . com choose enron to deliver financial web content
houston  ) enron broadband services ( ebs ) , a wholly owned subsidiary of enron
corp . and a leader in the delivery of high - bandwidth application services ,
announced today content delivery contracts with road - show . com , an online
resource for individual investors , and q 4 i . com , a financial services provider
offering an online broker resource called brokeriq . the two financial
services companies will use enron  , s epowered  v market cast and the enron
intelligent network  v ( ein ) to enhance the quality and speed of content
delivery to their investors . enron  , s solution provides tv - quality streaming
video with delivery speeds up to 50 times faster than the public internet .
 & these agreements reflect the financial services industry  , s need for better
and faster delivery of online content ,  8 said joe hirko , co - ceo of enron
broadband services .  & the enron intelligent network allows visionary
companies like road - show . com and q 4 i . com to serve their customers with video
to the desktop that has unparalleled speed , clarity and quality .  8
road - show . com is a fully integrated producer of online streaming media . the
company  , s xvenue  v platform offers clients a turn - key solution for
personalized live or on - demand webcast communications . road - show . com broadly
streams the presentations that companies typically give on road shows prior
to an initial public offering to audiences that include individual and
professional investors .
 & the enron intelligent network and market cast technology will allow
road - show . com to offer our customers something they have never had access to
before  ) real - time company presentations and one of the fastest , richest
viewing experiences possible . this will enhance their ability to make fully
educated investment decisions ,  8 said trey fecteau , president of
road - show . com .
q 4 i . com provides  & one - stop  8 advanced technology solutions for financial
services companies and their clients . with its flagship product , brokeriq  v ,
professional brokers and their firms have a complete broker management system
at their fingertips . q 4 i . com will utilize ebs to distribute financial video
clips to clients via its brokercity  v product . in addition , enron will
deliver q 4 i . com  , s live and on - demand streaming video clips of golf resorts ,
golf courses , golf real estate , equipment and golf travel for internet users
around the world through golftv  v , q 4 i . com  , s online video network .
 & our clients now have streaming video features available on their desktops
via enron  , s network ,  8 said j . frederic storaska , chairman and co - ceo of
q 4 i . com .  & they not only will enjoy on - demand streaming video of financial
and golf information , but they  , ll have the opportunity to take advantage of
special vacation and equipment offers reserved exclusively for our
broker - dealers .  8
enron  , s epowered market cast solution
epowered market cast , an application of the enron intelligent network , is an
end - to - end streaming media solution for banks , brokerages and other financial
services firms . using epowered market cast , companies can enhance investor
relations , conduct virtual road shows and stream analyst presentations from
their websites . in addition , epowered market cast is a powerful intranet
solution for providing real - time financial news , data feeds , training and
presentations to an internal audience . the application streams video at an
average bit - rate speed of 200 kilobits per second ( kbps ) .
the enron intelligent network is based on distributed server architecture , a
pure internet protocol ( ip ) platform and embedded software intelligence that
sets it apart from other networks . the ein  , s enhanced performance is due to
its ability to deliver streaming media content  & one hop  8 away from the user
at the closest ein edge server . the result is a tv - quality viewing
experience for the user . in contrast , the public internet  , s ability to
deliver the broadband content businesses need is often hampered by packet
loss , interference and other disruptions that slow down transmission speed
and compromise the end user  , s experience .
about enron broadband services
enron broadband services , formerly enron communications , inc . , is a leading
provider of high quality , broadband internet content and applications . the
company  , s business model combines the power of the enron intelligent network ,
enron  , s broadband operating system , bandwidth trading and intermediation
services , and high - bandwidth applications , to fundamentally improve the
experience and functionality of the internet . enron introduces its broadband
operating system to allow application developers to dynamically provision
bandwidth on demand for the end - to - end quality of service necessary to
deliver broadband content . enron is also creating a market for bandwidth
that will allow network providers to scale to meet the demands that
increasingly complex applications require . a wholly owned subsidiary of
enron corp . ( nyse : ene ) , enron broadband services can be found on the web at
www . enron . net .
about enron
enron is one of the world  , s leading electricity , natural gas and
communications companies . the company , which owns approximately $ 34 billion
in energy and communications assets , produces electricity and natural gas ,
develops , constructs and operates energy facilities worldwide , delivers
physical commodities and financial and risk management services to customers
around the world , and is developing an intelligent network platform to
facilitate online business . enron  , s internet address is www . enron . com . the
stock is traded under the ticker symbol ,  & ene .  8",0,1,0.6,False Positive
"Subject: important video announcement
i have a very important video announcement about the future of our company . please go to to access the video . thank you .",0,1,0.54,False Positive
"Subject: resume - dart arnaez
internal candidate response to job # 104210 . i have not talked to him .",0,1,0.51,False Positive
"Subject: fw : men & cars
because i ' m a man , when i lock my keys in the car i will
fiddle with a wire clothes hanger and ignore your
suggestions that we call a road service until long after
hypothermia has set in .
because i ' m a man , when the car isn ' t running very well ,
i will pop the hood and stare at the engine as if i know what
i ' m looking at . if another man shows up , one of us will say
to the other , "" i used to be able to fix these things , but now
with all these computers and everything , i wouldn ' t know
where to start . ""
because i ' m a man , when i catch a cold i need someone to
bring me soup and take care of me while i lie in bed and moan .
you never get as sick as i do , so for you this isn ' t an issue .
because i ' m a man , i can be relied upon to purchase basic
groceries at the store , like milk or bread . i cannot be expected
to find exotic items like "" cumin "" or "" tofu "" or "" cardamom . ""
for all i know these are all the same thing .
because i ' m a man , when one of our appliances stops working
i will insist on taking it apart , despite evidence that this will just
cost me twice as much once the repair person gets here and
has to put it back together .
because i ' m a man , i must hold the television remote control
in my hand while i watch tv . if the thing has been misplaced ,
i may miss a whole show looking for it ( though one time i was
able to survive by holding a calculator ) .
because i ' m a man , i don ' t think we ' re all that lost , and no , i
don ' t think we should stop and ask someone . why would
you listen to a complete stranger - - i mean , how could he
know where we ' re going ?
because i ' m a man , i do not want to visit your mother ,
or have your mother come visit us , or talk to her when she
calls , or think about her any more than i have to .
whatever you got her for mother ' s day is okay , i don ' t
need to see it . and don ' t forget to pick up something for
my mom , too !
because i ' m a man , you don ' t have to ask me if i liked the
movie . chances are , if you ' re crying at the end of it , i didn ' t .
because i ' m a man , yes , i have to turn up the radio when
bruce springsteen or the doors comes on , and then ,
yes , i have to tell you every single time about how bruce
had his picture on the cover of time and newsweek the
same day , or how jim morrison is buried in paris and
everyone visits his grave . please do not behave as if you
do not find this fascinating .
because i ' m a man , i think what you ' re wearing is fine .
i thought what you were wearing five minutes ago was fine ,
too . either pair of shoes is fine . with the belt or without it
looks fine . your hair is fine . you look fine .
can we just go now ?
because i ' m a man , and this is , after all , the 2000 ' s , i will
share equally in the housework . you just do the laundry ,
the cooking , the gardening , the cleaning , and the dishes . i ' ll
do the rest .",0,1,0.54,False Positive
"Subject: new email
yo bro . this is my new email address . save it .
aggie _ chico 2 @ hotmail . com .
love you , lacy
get your private , free email at http : / / www . hotmail . com",0,1,0.58,False Positive
"Subject: february updates
sorry so late .",0,1,0.53,False Positive
"Subject: correction on first delivery for cody
it should read cuba libre field and cuba libre central point .
eb",0,1,0.6,False Positive
"Subject: goings on
hi again ,
?
i can hardly wait for some good stuff regarding my "" friend "" . i do hope you
understand i am not against the person or persons - - just the way they do
their jobs .
?
i can ' t believe pat just left . must have been a really bad meeting . who took
his place ?
?
i see henry hub was close to $ 7 . 50 yesterday . amazing . your producers must
be happy .
?
trees - - ha . it is getting to be a choice between trees or gifts .
?
markets up nicely , courts ruling nicely , greenspan softening his stance on
interest , linda not shopping as much as prior years . looking good today .
?
later ,
ken",0,1,0.53,False Positive
"Subject: hunter ' s birthday party pictures
if the above link doesn ' t work , try going to http : / / www . abacustech . net / pic
- ram .",0,1,0.66,False Positive
"Subject: $ 5 for cd ' s dvd ' s expires soon at half . com
* * free $ 5 coupon at half . com * *
o half . com is a new site for cds , books , movies , & video games
o everything is 50 - 90 % off and you get $ 5 off your first $ 10 order
o plus , free shipping with your first order of 3 or more items
o be sure to pass this coupon on to all your friends ! ! !
click here for 5 bucks !
your coupon code is : lifestyle 5
"" use it or lose it "" expires soon ! !
click here for 5 bucks !
your coupon code is : lifestyle 5
the hottest titles at 50 % off while they last - including :
cds - santana , n sync , dixie chicks , jay - z , and christina
aguilera project , sixth sense and matrix
dvds - world is not enough , blair witch and more . . .
* * free $ 5 coupon at half . com * *
click here for 5 bucks !
your coupon code is : lifestyle 5
on the shopping cart page , enter your $ 5 . 00 coupon
code on the right side of the page . after submitting
your code , your coupon will be displayed in your
shopping cart .
you have received this invitation to participate in our offer because
you or someone using your e - mail address agreed to receive special
promotional offers from retail trade services and its web site
partners . if you wish to be excluded from future offers , please reply
to this message and type "" unsubscribe "" in the subject line .
all questions can be sent to :
if you wish to know more about our privacy policies , please go to
",0,1,0.68,False Positive
