Text,Actual,Predicted,Probability,Error_Type
"Subject: physical curve mappings _ sitara
hey gang ,
attached are the physical curve mappings as provided by russ severson . . . please take a peek and let us know if we need to change , add / delete , update any points / mappings going forward in a netco environment . . . for instance , i would like to change texoma to carthage on the curve mappings . . . also , i would like to delete all derived curves , leaving only carthage , katytailgate , and agua dulce .
the other physical locations would be shipchannel , waha and katy ( non - tailgate ) . . . let me know your thoughts . . . o ' neal 3 - 9686",0,1,0.0010035067289471842,False Positive
"Subject: rates
daren -
rates for september :
t - ville interconnects to equistar channelview $ . 15
agua dulce interconnects to equistar channelview $ . 13
let me know if you get something done or need quotes on something else ! term rate on # 6461 to follow .",0,1,0.0010439559263622211,False Positive
"Subject: first deliveries - comstock oil & gas and hesco gathering company
see attached letters",0,1,0.0010118561270826807,False Positive
"Subject: gathering meters adjustments
please refer to the attached spreadsheet . the gathering meters nominations
have been adjusted to the volumes in the avg column effective 4 / 9 / 01 .
bob",0,1,0.0010146504374619369,False Positive
"Subject: tom moore , jr .
following up conversations i have had with several of you , i would appreciate your consideration of the following candidiate for a logistics position . tom moore , jr . is currently a securities manager for fidelity investments in the dallas area , but interested in seeking a position in a energy related business in houston . he has an undergraduate degree ( bba ) from baylor and an mba from university of dallas . it is my understanding that you may be interviewing at this time or in the near future and i would appreciate your consideration of him for a position . i will be happy to introduce you to him and provide additional information about tom if you have an interest . you may reach me at ext . 3 - 1791 . thanks much .",0,1,0.0010232494073786752,False Positive
"Subject: eastrans nomination effective 1 / 25 / 01
clarification to below : effective 1 / 25 / 01 ! !
- - - - - - - - - - - - - - - - - - - - - - forwarded by marta k henderson / houston / pefs / pec on
01 / 24 / 2001 08 : 45 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
marta k henderson
01 / 24 / 2001 08 : 32 am
to : darrel f . bane / easttexas / pefs / pec @ pec , john a . bretz / gcs / cec / pec @ pec ,
chad w . cass / gcs / cec / pec @ pec , michael r .
cherry / easttexas / pefs / pec @ pec , william e . speckels / gcs / cec / pec @ pec ,
donna c . spencer / gcs / cec / pec @ pec , julia a . urbanek / gcs / cec / pec @ pec ,
briley @ enron . com , dfarmer @ enron . com , carlos . j . rodriguez @ enron . com ,
connie wester / easttexas / pefs / pec @ pec , ronald c .
douglas / gcs / cec / pec @ pec , daniel c rider / houston / pefs / pec @ pec , john c
lehman / field / pefs / pec @ pec , donna j dobb / houston / pefs / pec @ pec , sharon
beemer / houston / pefs / pec @ pec
cc :
subject : eastrans nomination effective 1 / 25 / 01
please increase deliveries into eastrans to 25 , 000 mmbtu / dy effective
9 / 25 / 01 and continue until further notified .
the redeliveries will be :
7300 mmbtu from fuels cotton valley
17 , 700 mmbtu to pg & e",0,1,0.0010434779679432125,False Positive
"Subject: resume - liz bellamy
following is the resume of liz bellamy . liz is currently at txu in the power
group , but has gas experience , also . she is deciding whether she wants to
relocate with txu to dallas . she would be interested in talking to enron
about possible opportunities . her current salary is $ 50 k . please let me
know if you would like to interview .",0,1,0.0010093292385060825,False Positive
"Subject: vance here is a list of meters that are in sitara under the well head
portfolio but are not on your sheets for this month . please check these out
as soon as possible so i can get the best number to daren asap . thanks tom .
acock engineering . 985547 # 229474 77
blackhawk oil 27 - 0 # 133255 670
black stone 989003 # 137868 664
conoco 984132 # 138103 144
dale operating co 985502 # 138342 37
dn hughes 980275 # 138800 70
elpaso 980308 # 139674
eog 27 - 0 # 126370
2027
980440
# 126351 444
four square 986735 # 137971 1147
lousis dreyfus 987491 # 138017 1000
muelller exploration 986838 # 164172 2800
ph exploration 986542 # 138554 47
prime energy 986542 # 138578 418
states inc . 23 - 3
# 138359 85
tejones 989643 # 133173 1068
titan resources 989685 # 248551 242
upstream 985155 # 138628 8000
valence operating 984132 # 138570 12
vintage 989643 # 139661
14
wagner oil 27 - 0 # 138033 900
western gulf 980106 # 139671 1068
wilmar pipline 985048 # 224899 163
total 21097",0,1,0.0010036349299155575,False Positive
"Subject: out of the office
please note that i will be out of the on tuesday , july 11 th through friday ,
july 14 th . i will return on monday the 17 th . in my absense , my desk will be
covered as follows :
tom acton :
980067 lonestar katy - - - - daily confirmations
980072 aquila header - - daily confirmations
980069 trunkline - - daily confirmations
986780 oasis katy - - daily confirmations
oneok transport - - daily scheduling
western transport - - daily scheduling
midcon transport - - daily scheduling
carlos rodriguez :
lonestar pipe line - - offsystem scheduling / pathing
midcon pipe line - - offsystem scheduling / pathing
dow pipe line - - offsystem scheduling / pathing
eddie janzen / mary poorman :
oasis pipe line - - offsystem nominations / scheduling / pathing
thanks ,
mark
x 33396",0,1,0.0010122739915180978,False Positive
"Subject: united salt quote
daren / dave -
sorry i didn ' t get this out yesterday . give me a call if you have any
questions .
- unitedsalt 8022 . xls",0,1,0.001004714298865705,False Positive
"Subject: re : tenaska iv 10 / 00
we have received all of the money from the spot sales for tenaska iv in
october 2000 , except for the tenaska iv sale and the $ 0 . 04 fee .
megan",0,1,0.0010159624727023536,False Positive
"Subject: re : union gas - doehrman # 1
the new sitara ticket # is 165331",0,1,0.0010216001898992908,False Positive
"Subject: first delivery - rodessa operating co .
see attached letter",0,1,0.0010724669935372117,False Positive
"Subject: important video announcement
i have a very important video announcement about the future of our company . please go to to access the video . thank you .",0,1,0.0011303159996153926,False Positive
"Subject: re : tenaska iv 10 / 00
we have received all of the money from the spot sales for tenaska iv in
october 2000 , except for the tenaska iv sale and the $ 0 . 04 fee .
megan",0,1,0.0010159624727023536,False Positive
"Subject: pat - out for jury duty
i am out of the office on monday for jury duty . in my absence , charlotte
hawkins will be the contact for the texas desk
logistics group . she will attend any meetings while i am out and is
responsible for our group ( we will rotate this backup
role among the seniors of the group ) . i can be paged at ( 713 ) 708 - 0117 .
thanks , pat",0,1,0.0010666145553498221,False Positive
"Subject: fw : playgroup & young families church party pictures
bammelyoungfamilies
- - - - - - - - - - - - - - - - - - - - - - - - - - - listbot sponsor - - - - - - - - - - - - - - - - - - - - - - - - - -
get a low apr nextcard visa in 30 seconds !
1 . fill in the brief application
2 . receive approval decision within 30 seconds
3 . get rates as low as 2 . 99 % intro or 9 . 99 % ongoing apr and no
annual fee !
apply now !
http : / / www . bcentral . com / listbot / nextcard
the previous e - mail truncated the full web address . so , try the link below
instead :
to unsubscribe , write to - unsubscribe @ listbot . com",0,1,0.0010127334630291051,False Positive
"Subject: resume - dart arnaez
internal candidate response to job # 104210 . i have not talked to him .",0,1,0.0012363837772485897,False Positive
"Subject: meoh upset
the meoh plant began having problems on june 30 . on july 3 , a flange fire on
piping occurred . the piping could not be depressured and the plant was shut
down . no eta for plant startup is available at this time . additional
information will be forwarded when available .",0,1,0.0010148291900163552,False Positive
"Subject: job number
your job number is 104210 . it will be posted on the enron website by 6 : 00
p . m .
thank you ,
felicia solis",0,1,0.0010378596984824179,False Positive
"Subject: re : duke cashout entries 5 / 00 and 6 / 00
thanks . it came through . i should have 7 / 00 and 8 / 00 for you tomorrow .",0,1,0.001044490166440612,False Positive
"Subject: new intramonth book
ql ) are you going to be setting up an hplc - ft - waha ?
q 2 ) roll up issues for positions
does tom want this part of the market area position - or separate from market
area ?
current
cpr sitara portfolio
n / a texas position - combined region hlpc - im hplc , hplc - im wellhead , hplr - im
texas , ena - im texas
texas texas position - ena / hplr hplr - im texas , ena - im texas
hplc texas position - ena - im texas ena - im texas
hplcwell texas position - hplc - im wellhead hplc - im wellhead
n / a texas position - hplr - im texas hplr - im texas
texas / hplc texas position - market area position hlpc - im hplc , hplr - im texas ,
ena - im texas
proposed additions or changes -
waha texas position - hplc - im waha hplc - im waha
texasreg texas position - combined region hlpc - im hplc , hplc - im wellhead ,
hplr - im texas , ena - im texas , hplc - im waha
rename texas / hplc in cpr to texasmkt - / / need to know if this includes
hplc - im waha - or should this be separate from market area
- - - - - - - - - - - - - - - - - - - - - - forwarded by thomas engel / hou / ect on 05 / 30 / 2000 12 : 27
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital management
from : david baumbach 05 / 30 / 2000 11 : 50 am
to : imelda frayre / hou / ect @ ect , scott mills / hou / ect @ ect , thomas
engel / hou / ect @ ect
cc :
subject : new intramonth book
please send me all forms / requests that need to be filled out to set up a new
intramonth book for the texas desk . also , what do you think the timeline is
for getting the new book set up ?
dave",0,1,0.0010069794712894225,False Positive
"Subject: reviewers
janet wallis
kyle lilly
howard camp
carlos rodriguez
thu nguyen
joan quick ( for ces )
bob superty ( ces )
ed gottlob
bryan hull",0,1,0.0011086705355050697,False Positive
"Subject: name change / merger listing for 7 / 00
this is the preliminary spreadsheet for july . there will definitely be
another listing distributed no later than this friday . for some reason there
has been an unusual number of notices issued and we are working diligently to
get the documents lined up .
updates to records in gcp for counterparty name changes :
the legal name field will be updated monday afternoon ( 7 / 17 ) .
the erms shortnames will be changed on tuesday afternoon ( 7 / 18 ) .",0,1,0.0010075872705689096,False Positive
